title,puNumber,show_start_date,type,film_studio,production_country,director,producer,age_restriction,refundable_support,nonrefundable_support,budget,financing_source,ratings,genres
3 идиота,121033713,2013-12-30T12:00:00.000Z,Художественный,Винод Чопра Филмз,Индия,Раджкумар Хирани,"Анил Давда, Видху Винод Чопра, Вир Чопра",«16+» - для детей старше 16 лет,,,,,8.1,"комедия,мелодрама"
Студент года,121032213,2013-12-20T12:00:00.000Z,Художественный,Дхарма Продакшнз,Индия,Каран Джохар,"Каран Джохар, Хиро Джохар, Гаури Кхан, Шахрукх Кхан",«16+» - для детей старше 16 лет,,,,,,
Роботы 3D,124004413,2013-12-30T12:00:00.000Z,Анимационный,"Анимация Студио, Янг Джамп Энимейшн Студио",Малайзия - США,"Лунг Ах, Чонг Ти Чуа","Теик Чен Леоу, Рэй Ли, Эдмунд Чан",«0+» - для любой зрительской аудитории,,,,,6.8,"фантастика,боевик,приключения"
Одержимая_,121033813,2013-12-30T12:00:00.000Z,Художественный,Интрепид Пикчерз,США,Малик Бейдер,"Анил Курьян, Тревор Мэйси, Марк Д.Эванс",«16+» - для детей старше 16 лет,,,,,7.7,"ужасы,драма"
Храброе сердце.,124004213,2013-12-20T12:00:00.000Z,Анимационный,"Калигари Филм - унд Фернсехпродуцион ГмбХ, Юниверсам Филм, Цвайтес Дойче Ферншен",Германия,"Томас Боденштайн, Хьюберт Вейланд, Нина Велс","Габриэла Вальтер, Ирен Веллерсхофф, Бернхард цу Кастелл, Кейт Форсдик, Анник Хилльгер",«0+» - для любой зрительской аудитории,,,,,8.3,"история,биография,драма"
Принцесса и нищий_,121033213,2013-12-23T12:00:00.000Z,Художественный,Каттлеа,Италия,Алессандро Сиани,"Марко Кименц, Джованни Стабилини. Риккардо Тоцци",«12+» - для детей старше 12 лет,,,,,7.2,фэнтези
Принцесса и нищий_,221071914,2014-12-29T12:00:00.000Z,Художественный,Каттлеа,Италия,Алессандро Сиани,"Марко Кименц, Джованни Стабилини. Риккардо Тоцци",«12+» - для детей старше 12 лет,,,,,7.2,фэнтези
Спецагенты на отдыхе,121033313,2013-12-23T12:00:00.000Z,Художественный,"Гомон, ТФ 1 Продюксьон, Нексус Фэктори, Эл Джи Эм Продакшнз, ЮФилм, ЮФонд, Канал +, Тэ Пэ Эс Стар, Тэ Эм Эс, Палатин Этуаль 9, Ле Текс Шелтер дю Гувернеман Федераль де Бельжик",Франция,"Оливье Барру, Кад Мерад","Жан-Батист Дюпон, Сирил Кольбо-Жюстен",«12+» - для детей старше 12 лет,,,,,4.5,комедия
Спецагенты на отдыхе,221001214,2014-01-29T12:00:00.000Z,Художественный,"Гомон, ТФ 1 Продюксьон, Нексус Фэктори, Эл Джи Эм Продакшнз, ЮФилм, ЮФонд, Канал +, Тэ Пэ Эс Стар, Тэ Эм Эс, Палатин Этуаль 9, Ле Текс Шелтер дю Гувернеман Федераль де Бельжик",Франция,"Оливье Барру, Кад Мерад","Жан-Батист Дюпон, Сирил Кольбо-Жюстен",«12+» - для детей старше 12 лет,,,,,4.5,комедия
Последнее лето,111000614,2014-01-22T12:00:00.000Z,Художественный,"ООО ""Продюсерский центр Киностудии им. М.Горького"", ОАО ""ТПО ""Центральная киностудия детских и юношеских фильмов им. М.Горького"", ООО ""Валдай""",Россия,Е.Звездаков,"С.Зернов, С.Кучмаева",«18+» - запрещено для детей,,,,,,
Волк с Уолл-стрит,121000614,2014-01-23T12:00:00.000Z,Художественный,"Аппиан Вэй, ИМДЖАГ Продакшнс, Ред Грэнайт Пикчерз, Сикелиа Продакшнс",США,Мартин Скорсезе,"Риза Азиз, Леонардо ДиКаприо, Джой МакФарлэнд, Мартин Скорсезе, Эмма Тиллинджер Коскофф",«18+» - запрещено для детей,,,,,7.9,"драма,криминал,биография"
Мебиус.,121027013,2013-10-21T12:00:00.000Z,Художественный,Финекут Компани,Южная Корея,Ким Ки Дук,Ким Ки Дук,«18+» - запрещено для детей,,,,,6.3,"триллер,драма"
Индюки: Назад в будущее 3D,124003413,2013-10-25T12:00:00.000Z,Анимационный,"Рил Эф Икс Креатив Студиос, Релативити Медиа",США,Джимми Хейуорд,Питер Фаррелли,«0+» - для любой зрительской аудитории,,,,,6.3,"мультфильм,фантастика,комедия"
Очень голодные игры,121027513,2013-10-29T12:00:00.000Z,Художественный,"Луизиана Продакшн Консультантс, Сафран Компани",США,"Аарон Зельцер, Джейсон Фридберг","Пэтти Лонг, Хэл Олофссон, Питер Сафран",«16+» - для детей старше 16 лет,,,,,3.4,"фантастика,комедия"
47 ронинов,121027213,2013-10-21T12:00:00.000Z,Художественный,"Мувинг Пикчерз Компани, Мид Атлантик Филмз, Аш 2 Эф Интертейнмент, Стабер Продакшнз",США,Карл Ринш,"Эрик МакЛеод, Скотт Стубер, Памела Эбди",«12+» - для детей старше 12 лет,,,,,6.7,"фэнтези,боевик,драма"
Средняя школа,121028213,2013-11-07T12:00:00.000Z,Художественный,Пеликан Хауз Продакшнз,США,Том Моррис,"Джаз Калкат, Кевин Лианг, Эллиот Фельд",«12+» - для детей старше 12 лет,,,,,,
Паганини: Скрипач Дьявола,121029513,2013-11-15T12:00:00.000Z,Художественный,"Саммер Сторм Интертейнмент, Дор Филм Продукционсгесселшафт, Конструкцион Филм, Байришер Рандфанк, Арте, Бар Продукцион, Филм Хауз Германи, Ски Дойчланд, Остерришер Рандфанк, Бета Синема",Германия - Италия,Бернард Роуз,"Кристиан Ангермейер, Габриэла Бахер, Росилин Хеллер",«16+» - для детей старше 16 лет,,,,,6.8,"мелодрама,драма,музыка"
Отец-молодец,121029613,2013-11-15T12:00:00.000Z,Художественный,"Дримуоркс, Тачстоун Пикчерз",США,Кен Скотт,Андрэ Роло,«16+» - для детей старше 16 лет,,,,,6.7,"комедия,драма"
Принцесса Монако,121007814,2014-04-25T12:00:00.000Z,Художественный,"Стоун Энджелс, И Эр Эф Интертейнмент, Юмедиа, Лаки Ред, ТФ1 Фильм Продюксьон, Канал +, Сильвер Рил",США - Франция - Бельгия - Италия,Оливье Даан,"Араш Амель, Клаудия Блюмхубер, Пьер-Анж Ле Пожам",«16+» - для детей старше 16 лет,,,,,6.6,"драма,мелодрама,биография"
Джо,121007816,2016-04-05T12:00:00.000Z,Художественный,"Ворлдвью Интертейнмент, Дрембридж Филмз, Мускат Филмд Пропертис, Руг Хаус",США,Дэвид Гордон Грин,"Дэвид Гордон Грин, Лиза Мусат, Деррик Тсенг",«18+» - запрещено для детей,,,,,8.0,"триллер,драма,криминал"
Джо,121008214,2014-04-25T12:00:00.000Z,Художественный,"Ворлдвью Интертейнмент, Дрембридж Филмз, Мускат Филмд Пропертис, Руг Хаус",США,Дэвид Гордон Грин,"Дэвид Гордон Грин, Лиза Мусат, Деррик Тсенг",«18+» - запрещено для детей,,,,,8.0,"триллер,драма,криминал"
Соседи.На тропе войны,121008614,2014-04-25T12:00:00.000Z,Художественный,"Гуд Юнивёр, Поинт Грей Пикчерз",США,Николас Столлер,"Эван Голдберг, Сет Роген, Джеймс Уивер",«18+» - запрещено для детей,,,,,5.9,комедия
БЕРЦЫ,111004314,2014-05-05T12:00:00.000Z,Художественный,"ООО ""Студия ""Пассажир""",Россия,Е.Миндадзе (псевдоним Катя Шагалова),Л.Антонова,«16+» - для детей старше 16 лет,0.0,28000000.0,40574140.0,Министерство культуры,4.2,драма
В ожидании молнии,126001414,2014-04-25T12:00:00.000Z,Прочие,Бандито Бразерс,США,Якоб Розенберг,"Рей Ибе, Макс Лайтман, Дэрил Франклин",«12+» - для детей старше 12 лет,,,,,6.3,документальный
Околофутбола,111004113,2013-09-10T12:00:00.000Z,Художественный,"ООО ""Фронт Лайн Студио""",Россия,А.Борматов,"С.Сельянов, Е.Быкова",«16+» - для детей старше 16 лет,,,,,6.6,"драма,криминал"
Пленницы,121024213,2013-09-11T12:00:00.000Z,Художественный,"Алкон Интертейнмент, 8:38 Продакшнз, Мэдхаус Интертейнмент",США,Дени Вильнев,"Бродерик Джонсон, Кира Дэвис, Адам Колбеннер",«16+» - для детей старше 16 лет,,,,,7.7,"триллер,драма,криминал"
Секретный эксперимент,221047715,2015-11-25T12:00:00.000Z,Художественный,"Бефор де Дор Пикчерз, Фаворит Фильм, Санчэйсер Интертейнмент",Германия - США,Блэр Эриксон,"Кристиан Арнольд-Бютел, Нил Додсон, Бен Сэмюэлс,  Маркус Шофер, Шон Эйкерс",«18+» - запрещено для детей,,,,,4.9,"ужасы,фантастика,триллер"
Секретный эксперимент,121001114,2014-01-29T12:00:00.000Z,Художественный,"Бефор де Дор Пикчерз, Фаворит Фильм, Санчэйсер Интертейнмент",Германия - США,Блэр Эриксон,"Кристиан Арнольд-Бютел, Нил Додсон, Бен Сэмюэлс,  Маркус Шофер, Шон Эйкерс",«18+» - запрещено для детей,,,,,4.9,"ужасы,фантастика,триллер"
ПРАВО НА ЛЮБОВЬ,111000214,2014-01-31T12:00:00.000Z,Художественный,"ООО ""Гравити Партнершип""",Россия,Д.Филюков,"Н.Трынкин, Д.Филюков",«18+» - запрещено для детей,,,,,7.5,"боевик,мелодрама"
Легок на помине,111001114,2014-02-10T12:00:00.000Z,Художественный,"ООО ""ЕМ Продакшн""",Россия,Е.Абызов,"Г.Малков, В.Поляков, Г.Андреасян, С.Андреасян",«12+» - для детей старше 12 лет,,,,,5.0,"комедия,фантастика"
БИРМИНГЕМСКИЙ ОРНАМЕНТ. Часть 2,111001614,2014-02-06T12:00:00.000Z,Художественный,"ОАО ""Московский информационно-технический центр""",Россия,А.Сильвестров,"А.Сильвестров, Г.Алейников, Е.Попов",«16+» - для детей старше 16 лет,,,,,,
Поцелуй мамочку на ночь,121027813,2013-10-29T12:00:00.000Z,Художественный,"Элемент Пикчерз, Еуоримаж, Экс Ниило, Филм И Васт, Филмгейт Филмз, Айриш Филм Борд",Франция - Ирландия - Швеция,Марина де Ван,"Марк Бордюр, Эд Гуене, Жан-Люк Ормер, Патрик Собельман",«18+» - запрещено для детей,,,,,4.3,ужасы
Каньоны,121030313,2013-11-21T12:00:00.000Z,Художественный,"Претти Бирд, Пост Эмпайр Филмз, Содиум Фокс, Фильмвокс/Эф Икс, Каньонс",США,Пол Шредер,"Джордан Авлин Блэр, Али Браун, Брэкстон Поуп",«18+» - запрещено для детей,,,,,4.1,"триллер,драма"
Кавказ.,111009413,2013-11-26T12:00:00.000Z,Художественный,"Юнайтед Мультимедиа Проджектс, Метрополь",Азербайджан-Россия,Фарид Гумбатов,"Рауф Атамалибеков, Фарид Гумбатов",«16+» - для детей старше 16 лет,,,,,1.1,комедия
Мальчики+Девочки=,111004614,2014-04-25T12:00:00.000Z,Художественный,"ООО ""Киностудия ""АРК-ФИЛЬМ""",Россия,Е.Соколов,Д.Потемкин,«12+» - для детей старше 12 лет,,,,,6.9,"драма,мелодрама,комедия"
Белая белая ночь,111004714,2014-04-29T12:00:00.000Z,Художественный,"ООО ""Кинокомпания ""Север""",Россия,Р.Салахутдинов,В.Извеков,«12+» - для детей старше 12 лет,,,,,6.2,военный
10 мгновений судьбы,121009114,2014-05-07T12:00:00.000Z,Художественный,"Арена Медиа, Скрин Аустралиа",Австралия,"Джонатан Ауф Дер Хайди, Миа Васиковска, Клер МакКарти, Йен Медоуз, Стивен Пейдж, Эшли Пейдж, Саймон Стоун, Уорвик Торнтон, Мариека Уолш, Дэвид Уэнэм","Роберт Коннолли, Мэгги Майлз, Кэт Шелпер",«16+» - для детей старше 16 лет,,,,,5.1,драма
Долгое падение.,121011116,2016-05-05T12:00:00.000Z,Художественный,"Вилдгаз Филмз, Би-Би-Си, Дэ Эс ЭМ Продуцион, Филм Фо",Великобритания - Германия,Паскаль Шомель,"Финола Двайер, Кристоф Дэниэл, Аманда Пози",«18+» - запрещено для детей,,,,,6.6,"драма,комедия"
Долгое падение.,121009214,2014-05-07T12:00:00.000Z,Художественный,"Вилдгаз Филмз, Би-Би-Си, Дэ Эс ЭМ Продуцион, Филм Фо",Великобритания - Германия,Паскаль Шомель,"Финола Двайер, Кристоф Дэниэл, Аманда Пози",«18+» - запрещено для детей,,,,,6.6,"драма,комедия"
"СЕКС, КОФЕ СИГАРЕТЫ",111004914,2014-05-07T12:00:00.000Z,Художественный,"ООО ""Кинокомпания ФИЛЬМ №1""",Россия,С.Ольденбург-Свинцов,"И.Грушелевский, А.Перепелицын, С.Ольденбург-Свинцов",«18+» - запрещено для детей,,,,,2.8,"драма,комедия"
Стыд.,111004413,2013-09-23T12:00:00.000Z,Художественный,"ООО ""Культурные инициативы""",Россия,Ю.Разыков,"В.Малышев, А.Малышев",«16+» - для детей старше 16 лет,,,,,8.1,"драма,мелодрама"
Убойный уикенд,221051714,2014-11-17T12:00:00.000Z,Художественный,Визбанг Филмз,Канада,Питер Веллингтон,Фрэнк Сиракуза,«16+» - для детей старше 16 лет,,,,,5.1,"комедия,криминал,триллер"
Убойный уикенд,121024113,2013-09-11T12:00:00.000Z,Художественный,Визбанг Филмз,Канада,Питер Веллингтон,Фрэнк Сиракуза,«16+» - для детей старше 16 лет,,,,,5.1,"комедия,криминал,триллер"
Сад изящных слов,124003113,2013-09-27T12:00:00.000Z,Анимационный,Комикс Вейв,Япония,Макото Синкай,Норитака Кавагути,«12+» - для детей старше 12 лет,,,,,7.8,"аниме,мультфильм,мелодрама"
Ромео и Джульетта /По одноименному произведению У.Шекспира/,121024713,2013-09-27T12:00:00.000Z,Художественный,"Амбер Интертейнмент, Индиана Продакшн Компани, Сваровски Интертейнмент, Эхо Лэйк Продакшнз",Великобритания - Италия - Швейцария,Карло Карлей,"Саймон Босанкет, Джулиан Феллоуз, Лоуренс Элман",«12+» - для детей старше 12 лет,,,,,8.2,"драма,мелодрама"
Гонка (Rush),121024813,2013-09-27T12:00:00.000Z,Художественный,"Гросс Крик Пикчерз, Эксклюзив Медиа Групп, Имеджин Интертейнмент, Революшн Филмз, Уоркинг Тайтл Филмз, Эголи Тоссель Филм, Экшн Концепт Филм-анд Стантпродуцион, Мерсед Медиа Партнерс",США - Германия - Великобритания,Рон Ховард,"Брайан Грейзер, Эндрю Итон, Эрик Феллнер",«16+» - для детей старше 16 лет,,,,,8.1,"спорт,драма,биография"
Полный вперед!.,111001814,2014-02-18T12:00:00.000Z,Художественный,"АНО ""Студия ""Позитив-фильм""",Россия,А.Сурикова,А.Голутва,«6+» - для детей старше 6 лет,,,,,7.0,комедия
Небо падших.,111001914,2014-02-20T12:00:00.000Z,Художественный,"ЗАО ""НАРОДНОЕ КИНО""",Россия,В.Донсков,"Е.Зобов, А.Демаков",«16+» - для детей старше 16 лет,,,,,6.3,драма
Дубровский_,111002014,2014-02-21T12:00:00.000Z,Художественный,"ООО ""Авангард Медиа""",Россия,"А.Вартанов, К.Михановский",Е.Гиндилис ,«16+» - для детей старше 16 лет,,,,,5.7,"драма,криминал"
Воздушный маршал,121003614,2014-02-25T12:00:00.000Z,Художественный,"Сильвер Пикчерз, Юниверсал Пикчерз, СтудиоКанал",США-Франция,Хауме Кольет-Серра,"Алекс Хейнеман, Эндрю Рона, Джоел Сильвер",«12+» - для детей старше 12 лет,,,,,7.2,"детектив,триллер,боевик"
Горько!,111005013,2013-10-04T12:00:00.000Z,Художественный,"ООО ""ТаББаК"", ООО ""Лунапарк Продакшн""",Россия,А.Першин,"И.Бурец, Д.Нелидов, С.Светлаков, Т.Бекмамбетов",«16+» - для детей старше 16 лет,,,,,5.3,комедия
Жизнь Адель. Части 1 и 2,121024413,2013-09-27T12:00:00.000Z,Художественный,"Уалд Банч, Алькатрац Филм, Франс 2 Синема, Скоуп Пикчерз, Вертиго Филмз, Радио Телевизион Бельж Франкофон, Канал +, Сине +, Еуроимаж, Норд Па де Кале, Куасу Фильм",Франция,Абделатиф Кешиш,"Абделатиф Кешиш, Лоуренс Клерк, Брахим Чиоуа",«18+» - запрещено для детей,,,,,7.0,"драма,мелодрама"
"Жан-Мадлен Шнайцхеффер. Сильфида /По фантастической новелле Шарля Нодье ""Трильби""/. Постановка Парижской национальной оперы",126003613,2013-09-23T12:00:00.000Z,Прочие,Эр А И Синема,Италия,хореография Пьера Лакотта по Филиппу Тальони,,«0+» - для любой зрительской аудитории,,,,,,
Анатомия любви /По произведению Скотта Спенсера/,121002414,2014-02-11T12:00:00.000Z,Художественный,"Юниверсал Пикчерз, Блюгресс Филмз, Фэйк Эмпаэр",США,Шана Фест,"Майлз Дэйл, Трэйси Фалько, Памела Эбди",«16+» - для детей старше 16 лет,,,,,6.7,"драма,мелодрама"
Анатомия любви /По произведению Скотта Спенсера/,221012414,2014-04-04T12:00:00.000Z,Художественный,"Юниверсал Пикчерз, Блюгресс Филмз, Фэйк Эмпаэр",США,Шана Фест,"Майлз Дэйл, Трэйси Фалько, Памела Эбди",«16+» - для детей старше 16 лет,,,,,6.7,"драма,мелодрама"
Байкеры-3,121003314,2014-02-17T12:00:00.000Z,Художественный,Яш Радж Фильмс,Индия,Виджай Кришна Ачария,"Аших Сингх, Адитья Чопра, Санджай Шивалкар",«12+» - для детей старше 12 лет,,,,,7.5,"боевик,триллер,криминал"
Далласский клуб покупателей,121002514,2014-02-11T12:00:00.000Z,Художественный,"Волтаж Пикчерз, Трус Интертейнмент, Фокус Фьючерз",США,Жан-Марк Валле,"Робби Бреннер, Рейчел Винтер",«18+» - запрещено для детей,,,,,7.8,"драма,биография"
"Последняя любовь мистера Моргана /По роману Франсуазы Дорнер ""Нежность убивает""/",121002614,2014-02-11T12:00:00.000Z,Художественный,"Камински Штим Фильм, Бавариа Пикчерз, Сенатор Фильм, Скоуп Пикчерз, Сидни Киммел, Элзевир Филм                                                                                                                                                         Киммел  ",Германия - Бельгия - США -Франция,Сандра Неттельбек,"Франк Камински, Астрид Камке, Филипп Кройцер, Ульрих Штим",«16+» - для детей старше 16 лет,,,,,6.9,драма
Китайская головоломка,121002714,2014-02-11T12:00:00.000Z,Художественный,"Се Кью Ме Мё, Оппозит Филд Пикчерз, Ля Компани Синематографик, Панаш Продюксьон ",Франция,Седрик Клапиш,"Седрик Клапиш, Бруно Леви",«18+» - запрещено для детей,,,,,6.8,"драма,мелодрама,комедия"
Aroused: Откровения лучших порномоделей,126000214,2014-02-20T12:00:00.000Z,Прочие,"Сеньор Компани, Черри Он Топ Продакшнз, Автоматик Интертейнмент",США,Дебора Андерсон,"Дебора Андерсон, Трина Венит, Кристофер Галло",«18+» - запрещено для детей,,,,,5.6,документальный
Трансформеры: Эпоха истребления,121011414,2014-06-11T12:00:00.000Z,Художественный,"Парамаунт, Хасбро, Ди Бонавентура Пикчерз, Том ДиСанто/Дон Мёрфи Продакшн",США-Китай,Майкл Бэй,"Йен Брайс, Том ДеСанто, Лоренцо Ди Бонавентура",«12+» - для детей старше 12 лет,,,,,6.1,"фантастика,боевик,приключения"
ПУТЕВКА В ЖИЗНЬ.,111003414,2014-03-28T12:00:00.000Z,Художественный,"АНО ""Творческая студия ""Стелла""",Россия,О.Галин,Ф.Попов,«12+» - для детей старше 12 лет,,,,,7.6,драма
Младенец в подарок,121008014,2014-04-25T12:00:00.000Z,Художественный,"Филм Колони, Уник Нью Йорк Продакшн",США,Джесси МакКормак,"Эрик Ван Вик, Джесси МакКормак, Кэтрин Химофф",«16+» - для детей старше 16 лет,,,,,4.6,"драма,комедия"
Десятка,111003714,2014-04-10T12:00:00.000Z,Художественный,"ООО ""Антикор Группа""",Россия,В.Козлов,"Е.Графов, В.Козлов",«18+» - запрещено для детей,,,,,5.5,драма
Холостяки в отрыве,121009014,2014-05-05T12:00:00.000Z,Художественный,"Легенд Фильм, ПёпльФоСинема Продюксьон, Гомон, ТФ1 Фильм Продюксьон, Канал +, Сине +",Франция,Энтони Марсиано,"Ален Голдман, Катрин Морисс",«12+» - для детей старше 12 лет,,,,,6.6,комедия
Мачо и ботан 2,221053314,2014-11-05T12:00:00.000Z,Художественный,"Коламбиа Пикчерз, Метро Голдвин Майер, Медиа Райтс Кэпитал, Ориджинал Филм, Кеннел Студиос, Стивен Джей Кеннел Продакшнз, 33 энд Аут Продакшнз, Джей Эйч Эф Продакшнз, Эл Стар Кэпитал",США,"Фил Лорд, Кристофер Миллер","Нил Эйч Мориц, Ченнинг Татум, Джона Хилл",«16+» - для детей старше 16 лет,,,,,6.7,"комедия,боевик,криминал"
Мачо и ботан 2,121012114,2014-06-17T12:00:00.000Z,Художественный,"Коламбиа Пикчерз, Метро Голдвин Майер, Медиа Райтс Кэпитал, Ориджинал Филм, Кеннел Студиос, Стивен Джей Кеннел Продакшнз, 33 энд Аут Продакшнз, Джей Эйч Эф Продакшнз, Эл Стар Кэпитал",США,"Фил Лорд, Кристофер Миллер","Нил Эйч Мориц, Ченнинг Татум, Джона Хилл",«16+» - для детей старше 16 лет,,,,,6.7,"комедия,боевик,криминал"
Миллион способов потерять голову,121011514,2014-06-11T12:00:00.000Z,Художественный,"Блюгрэс Филмз, Фаззи Доор Продакшн, Медиа Райтс Кэпитал, Эр Джи Би Медиа ",США,Сет МакФарлейн,"Джейсон Кларк, Сет МакФарлейн, Скотт Стубер",«18+» - запрещено для детей,,,,,6.2,"комедия,вестерн"
Да и Да,111006214,2014-06-18T12:00:00.000Z,Художественный,"ООО ""Муви про"", ООО ""Арт Пикчерс Студия"" ",Россия,В.Гай Германика,"ООО ""Арт Пикчерс Студия"" ",«18+» - запрещено для детей,,,,,4.9,драма
Мой Аттила Марсель,121012314,2014-06-19T12:00:00.000Z,Художественный,"Евровайд Фильм Продюксьон, Патэ, Франс 3 Синема, Канал +, Сине +, Франс Телевизьон, Хош Артуа Имаж, Кофинова 9, Софика Манон 3, Просиреп ",Франция,Сильвен Шоне,Крис Болзли,«16+» - для детей старше 16 лет,,,,,7.0,"драма,комедия,музыка"
Земля в движении: как устроен климат Земли,126002414,2014-06-11T12:00:00.000Z,Прочие,"Спитц, Инк.",США,Томас Лукас,"Майк Бруно, Томас Лукас, Роберт Паттерсон",«6+» - для детей старше 6 лет,,,,,,
Не говори ничего,121012414,2014-06-19T12:00:00.000Z,Художественный,Аквариус Фильм,Австралия,Киран Дарси-Смит,"Майкл Коуди, Тиаре Томашевски, Энджи Филдер",«16+» - для детей старше 16 лет,,,,,5.5,"драма,детектив"
Хоть раз в жизни,121012814,2014-06-23T12:00:00.000Z,Художественный,"Эксклюзив Медиа Групп, Сикамор Пикчерз, Апатоу Продакшнз, Лайкли Стори",США,Джон Карни,"Джудд Апатоу, Тобин Армруст, Энтони Брегман ",«16+» - для детей старше 16 лет,,,,,7.4,"драма,мелодрама,комедия"
Need for Speed: Жажда скорости,121004114,2014-03-07T12:00:00.000Z,Художественный,"Дрим Уоркс, Релайэнс Интертейнмент, Электроникс Артс, Бандито Бразерс",США,Скотт Во,"Джон Гэтинс, Патрик О'Брайен, Марк Сурян",«12+» - для детей старше 12 лет,,,,,6.8,"боевик,триллер,криминал"
Медсестра 3D,121006314,2014-04-03T12:00:00.000Z,Художественный,Лайонс Гейт,США,Дуглас Амиокоски,Марк Бейншток,«18+» - запрещено для детей,,,,,6.4,"триллер,ужасы"
Визит,111003814,2014-04-10T12:00:00.000Z,Художественный,"ГУП Республики Башкортостан Киностудия ""Башкортостан""",Россия,Б.Юсупов,,«0+» - для любой зрительской аудитории,,,,,6.1,"ужасы,триллер,детектив"
Глория.,121006914,2014-04-11T12:00:00.000Z,Художественный,"Фабула, Нефилим Продюсьонес",Чили - Испания,Себастьян Лелио,"Луис Кольяр, Пабло Ларраин, Хуан Диос Ларраин",«16+» - для детей старше 16 лет,,,,,7.0,"триллер,драма,криминал"
"Любовь, секс и Лос-Анджелес",121007014,2014-04-11T12:00:00.000Z,Художественный,"Паншинг Биз, Треверс Медиа, Фасеншен Филмз",США,Хершел Фабер,"Курт Дэвид Андерсон, Хершел Фабер, Джо Фогель",«18+» - запрещено для детей,,,,,5.3,"мелодрама,комедия"
Петр Ильич Чайковский. Спящая красавица /По сюжету одноименной сказки Шарля Перро/. Постановка Royal Opera House,126001114,2014-04-11T12:00:00.000Z,Прочие,Артс Альянс Медиа,Великобритания,Кристофер Карр. Хореография Мариуса Петипа. Постановка Моники Мейсон и Кристофера Ньютона по Нинетт де Валуа и Николаю Сергееву ,,«0+» - для любой зрительской аудитории,,,,,,
Другая женщина .,121006814,2014-04-09T12:00:00.000Z,Художественный,"Эл Би И Продакшнз, ХХ век Фокс ",США,Ник Кассаветис,"Дональд Дж.Ли младший, Чак Пачеко, Джули Силверман  ",«16+» - для детей старше 16 лет,,,,,6.7,"мелодрама,комедия"
Любовь - это идеальное преступление /По произведению Филиппа Джиана/,121007114,2014-04-11T12:00:00.000Z,Художественный,"Арена Продюксьон, Гомон, Франс Синема, Рон-Альп Синема, Вега Филм, Радио Телевизьон Сьюис, Энтр Шьен э Лу, Молливуд, Национальный центр кинематографии, Лёфис Федераль де ля Культур, Канал +, Оранж Синема, Арте Франс, Кофинова 9, Индефильм 2  ",Франция - Швейцария,"Арно Ларьё, Жан-Мари Ларьё","Фрэнсис Бьеспфлуг, Сидони Дюма, Бруно Песери",«16+» - для детей старше 16 лет,,,,,5.6,"триллер,криминал"
Газгольдер,111004114,2014-04-16T12:00:00.000Z,Художественный,"ТО ""Газгольдер""",Россия,"Е.Антимоний, В.Вакуленко",Е.Антимоний,«18+» - запрещено для детей,,,,,4.2,"комедия,криминал"
Дневник мамы первоклассника,111005114,2014-05-19T12:00:00.000Z,Художественный,"ООО ""Киностудия ""ВЕРТИКАЛЬ""",Россия,А.Силкин,"С.Говорухин, Е.Маскина",«0+» - для любой зрительской аудитории,,,,,6.0,"детский,мелодрама,семейный"
Планета обезьян: Революция,221053914,2014-11-05T12:00:00.000Z,Художественный,"Чемин Интертейнмент, ХХ век Фокс",США,Мэтт Ривз,"Рик Джаффа, Дилан Кларк, Питер Чернин",«16+» - для детей старше 16 лет,,,,,7.0,"фантастика,боевик,драма"
Планета обезьян: Революция,121012514,2014-06-19T12:00:00.000Z,Художественный,"Чемин Интертейнмент, ХХ век Фокс",США,Мэтт Ривз,"Рик Джаффа, Дилан Кларк, Питер Чернин",«16+» - для детей старше 16 лет,,,,,7.0,"фантастика,боевик,драма"
Планета обезьян: Революция,221070514,2014-12-19T12:00:00.000Z,Художественный,"Чемин Интертейнмент, ХХ век Фокс",США,Мэтт Ривз,"Рик Джаффа, Дилан Кларк, Питер Чернин",«16+» - для детей старше 16 лет,,,,,7.0,"фантастика,боевик,драма"
"Враг /По роману Жозе Сарамаго ""Двойник""/",121012614,2014-06-19T12:00:00.000Z,Художественный,"Ромбус Медиа, Роксбери Пикчерз, Микро_скоуп, Меканизмо Филмз",Канада - Испания,Дени Вильнев,"М.А.Фаура, Нив Фичман",«16+» - для детей старше 16 лет,,,,,6.6,"триллер,детектив"
Желтоглазые крокодилы /По одноименному роману Катрин Панколь/,121012714,2014-06-23T12:00:00.000Z,Художественный,Ле Фильм Мануэль Мунц,Франция,Сесиль Телерман,Мануэль Мунц,«16+» - для детей старше 16 лет,,,,,6.9,драма
Теорема Zero,121011914,2014-06-11T12:00:00.000Z,Художественный,"Волтаж Пикчерз, Занук Индепендент, МедиаПро Пикчерз, Зефир Филмз",США - Румыния - Великобритания,Тьерри Гиллиам,"Дин Занук, Николас Картье",«16+» - для детей старше 16 лет,,,,,6.5,"фантастика,триллер,драма"
Ты где-то есть,111006414,2014-06-24T12:00:00.000Z,Художественный,"ООО ""Первое творческое объединение""",Россия,П.Пархоменко,П.Поляков,«16+» - для детей старше 16 лет,,,,,,
"Моя Русалка, Моя Лореляй",111006514,2014-06-24T12:00:00.000Z,Художественный,"ООО ""Творческое объединение ХРОНОГРАФ""",Россия,Н.Джорджадзе,"П.Поляков, И.Букреев, В.Калмыков, М.Бабаханов",«18+» - запрещено для детей,,,,,5.0,"драма,мелодрама,комедия"
